,id,owner_name,owner_is_human,owner_result,is_army,is_building,is_worker,started_at,finished_at,died_at
JinairRogue70254593,70254593,JinairRogue,True,Loss,False,False,False,2972,2972,3260
JinairRogue70254595,70254595,JinairRogue,True,Loss,True,False,False,17504,17504,17884
JinairRogue70254601,70254601,JinairRogue,True,Loss,True,False,False,20064,20064,20577
JinairRogue70254602,70254602,JinairRogue,True,Loss,True,False,False,20581,20581,21095
JinairRogue70254604,70254604,JinairRogue,True,Loss,True,False,False,22063,22063,24721
JinairRogue70254615,70254615,JinairRogue,True,Loss,True,False,False,26374,26374,27318
JinairRogue70254616,70254616,JinairRogue,True,Loss,True,False,False,27322,27322,27759
JinairRogue70516739,70516739,JinairRogue,True,Loss,True,False,False,25044,25044,25499
JinairRogue70516742,70516742,JinairRogue,True,Loss,True,False,False,27091,27091,27861
JinairRogue70778881,70778881,JinairRogue,True,Loss,True,False,False,3143,3143,4729
JinairRogue70778882,70778882,JinairRogue,True,Loss,True,False,False,4970,4970,8715
JinairRogue70778892,70778892,JinairRogue,True,Loss,False,False,False,9043,9043,9346
JinairRogue7077890,7077890,JinairRogue,True,Loss,True,False,False,11096,11096,14166
JinairRogue70778905,70778905,JinairRogue,True,Loss,False,False,False,10078,10078,10604
JinairRogue70778906,70778906,JinairRogue,True,Loss,True,False,False,10611,10611,14688
JinairRogue70778907,70778907,JinairRogue,True,Loss,True,False,False,14693,14693,15106
JinairRogue70778909,70778909,JinairRogue,True,Loss,True,False,False,15960,15960,16456
JinairRogue7077891,7077891,JinairRogue,True,Loss,True,False,False,14171,14171,15375
JinairRogue70778914,70778914,JinairRogue,True,Loss,True,False,False,19246,19246,20577
JinairRogue70778915,70778915,JinairRogue,True,Loss,True,False,False,20581,20581,21101
JinairRogue70778921,70778921,JinairRogue,True,Loss,False,True,False,21948,22219,NA
JinairRogue7077895,7077895,JinairRogue,True,Loss,False,False,False,15777,15777,16229
JinairRogue7077902,7077902,JinairRogue,True,Loss,False,False,False,19214,19214,19610
JinairRogue7077903,7077903,JinairRogue,True,Loss,True,False,False,19616,19616,20564
JinairRogue7077904,7077904,JinairRogue,True,Loss,False,False,False,20568,20568,21041
JinairRogue71041025,71041025,JinairRogue,True,Loss,True,False,False,3143,3143,4826
JinairRogue71041026,71041026,JinairRogue,True,Loss,False,False,False,4943,4943,5361
JinairRogue71041027,71041027,JinairRogue,True,Loss,False,True,False,5405,5965,NA
JinairRogue71303169,71303169,JinairRogue,True,Loss,True,False,False,3146,3146,5779
JinairRogue71303172,71303172,JinairRogue,True,Loss,True,False,False,17767,17767,19519
JinairRogue71303173,71303173,JinairRogue,True,Loss,False,False,False,19522,19522,20064
JinairRogue71303174,71303174,JinairRogue,True,Loss,True,False,False,20069,20069,20753
JinairRogue71303175,71303175,JinairRogue,True,Loss,False,False,False,20910,20910,21329
JinairRogue71565314,71565314,JinairRogue,True,Loss,True,False,False,17499,17499,17941
